Name,Web,Facebook,Twitter,Instagram,Bandcamp,About,Bingley Artist,BMT Member,LastUpdated,Image
A Bloody Shambles,,https://www.facebook.com/profile.php?id=100075590184637&sk=events&locale=eo_EO,,,,"An amazing, unique rock covers band.",,,2024-01-30,
Amnesia,,https://www.neilthomas.co.uk/amnesia.html,,,,West Yorkshire based retro covers and party band,no,no,2023-09-08,
Augustin Bousfield,https://www.augustinbousfield.com/,https://www.facebook.com/augustin.bousfield,https://twitter.com/augustinbo,,,"Augustin is from Bradford, UK and has played with Gurgles, Mucky Sailor, Henry Parker,  Nope and many others as well as performing as Lord Adonis, and remixing as Tomorrows Dad. He has recently been co-producing Saint Etienne’s latest album. He’s performed improv sound and noise, solo and with others at Bradford’s Threadfest, Fundada Festival in Halifax, Vespertine Festival in York and the launch of the Doctor Who exhibition at the National Science and Media Museum with jazz pianist Matthew Bourne and baritone guitarist Andy Abbott.",no,no,2023-03-10,
Beckie Brill,,https://www.facebook.com/beckiebrillmusic,,https://www.instagram.com/beckie.music/,,Hi there! Welcome to a world of covers and originals!,,no ,2023-05-25,
Ben Blue Waters,https://www.reverbnation.com/benbluewaters,,,,,"Solo acoustic slide guitar player and singer, performing blues songs from the 1920's onwards.",no,no,2023-03-29,
Ben Greenwell,https://www.bengreenwellmusic.co.uk/,https://www.facebook.com/Ben-Greenwell-music-105191851748554,,,,"Ben Greenwell is a singer/songwriter, harmonica player and guitarist from Yorkshire. With solid grooves and emotive whaling blues harmonica, Greenwell’s soulful voice takes the listener on a journey as he sings about life, loss, love and truth.",no,no,2023-09-28,
Beyond the C,,,,,,,no,no,2023-04-28,
Billy Billy 5P,,https://www.facebook.com/BillyBilly5P,,https://www.instagram.com/billybilly5p/,https://billybilly5p.bandcamp.com/,Leeds based internationally unsuccessful pop / rock group,yes,no,2025-01-21,BillyBilly5p.jpg
Bingley Handbell Ringers,https://bingleyhandbells.org.uk/,https://www.facebook.com/groups/306518791665257,,,,"Bingley Handbell Ringers are based in Church House, Old Main Street , Bingley. We meet at 7pm every Wed evening to practice. We can be booked to perform at your event or venue",,,2023-11-13,
Bingley Weekender,https://bingleyweekender.co.uk/,https://www.facebook.com/bingleyweekend/,https://twitter.com/bingleyweekend,https://www.instagram.com/bingleyweekend/,,A four day music festival held in Bingley each year.,no,no,2023-03-16,
Blue Star Tattoo,,https://www.facebook.com/bluestartattooband,,,,"Classic Rock covers band available for weddings, parties, pubs, clubs, etc",no,no,2023-04-12,
Brad Mack Music,,https://www.facebook.com/bradmackmusic,,,,"Singer, guitarist & songwriter",no,no,2023-06-30,
Bradford Accordian Band,https://www.bradfordaccordionband.co.uk/,https://www.facebook.com/bradfordaccordionband,,,,"Bradford Accordion Band (BAB) is a unique and diverse amateur musical group whose mission is to make great music, whilst having lots of fun! We have been established since 1997 and our membership comprises 32 accordion, keyboard, woodwind, strings and percussion players between the ages of 22 and 91.",yes,yes,2023-04-12,
Bradford Concert Band,https://www.b-c-b.org.uk/,http://www.facebook.com/BradfordConcert,https://twitter.com/BradfordConcert,https://www.instagram.com/bradfordconcertband/,,"A concert band that comprises players of woodwind, brass, and percussion that plays a wide range of music including stage, musical, film and television music, arrangements of light popular music, marches, formal overtures, some of our own arrangements and novelty numbers. ",no,no,2023-03-13,
Calm Before The Storm,,https://www.facebook.com/profile.php?id=100089371275180,,,,"Bradford based Acoustic Duo, Stan Greenwood & Innis Stiles",no,no,2023-02-24,
Calm Before The Storm,,https://www.facebook.com/CalmBeforeTheStorm2023,,,,Bradford based Acoustic Duo. Stan Greenwood & Innis Stiles.,no,no,2023-09-01,
Celena Deans,https://www.lastminutemusicians.com/members/celena.html,https://www.facebook.com/celena.deans/?locale=en_GB,,,,"Celena sings soul classics from the likes of Anita Baker, Jocelyn Brown, Rose Royce , Whitney Houston and Diana Ross to name but a few, but also performs songs from current artists such as Duffy, Amy Winehouse, Leona Lewis, Pixie Lott, Alisha Keys, Beyoncé, Paloma Faith and Sam Smith!",no,no,2024-01-21,
Charlie Faulding,,https://www.facebook.com/charles.faulding.777,,https://www.instagram.com/cfauldingmusic/,,,,no ,2023-05-25,
Charlotte Nicholson,,https://www.facebook.com/charnichmusic,,https://www.instagram.com/char_nichmusic/,,Female singer from Bradford. Singing covers from the 60's to present day,,no ,2023-05-25,
Cornell Daley,,https://www.facebook.com/cornell.daley,,,,"Bingley based singer, songwriter, performer",yes,no,2023-03-15,
Dan McGlade,,https://www.facebook.com/DanMcGlade1969,,,,,no,no,2023-06-30,
Diamond Dac,http://www.diamonddac.com/,https://www.facebook.com/DiamondDac/,,,,"Diamond Dac is a blues player with influences including John Jackson, Louisiana Red, Philadelphia Jerry Ricks and John Cephas, and the great modern performers including Woody Mann, Mike Dowling, John Miller and Michael Messer",,,2023-11-13,
Dirty Deads,,,,,,,no,no,2023-09-08,
Dogfinger Steve,,https://www.facebook.com/dogfinger,,,,Mojo fuelled blues played on 3 and 4 string cigar box guitars.,no,no,2023-09-01,
Dori and The Drivers,,https://www.facebook.com/DustyBoxcarBlues/,,,,In it for the fun and laughs and to play some great music to get you jigging along,no,no,2023-04-25,
Doug Nissley,https://www.dougnissley.com/,https://www.facebook.com/dougniss,,,,"With over 30 Years in music and entertainment, Doug brings his hillbilly country Americana style to the UK.",,,2024-01-21,
Dr Andrew Filmer,,,,,,,no,no,2023-02-23,
Drella,https://linktr.ee/Drellaband,https://www.facebook.com/drellaband,,,,Alt rock trio from Bradford,no,no,2023-03-15,
Eddie Earthquake and the Tremors,,https://www.facebook.com/eddieearthquakeandthetremors,,,,Authentic and energetic beat combo with great harmonies playing rock n roll and pop hits,not known,no,2023-03-08,
Fay and Latta,https://www.fayandlatta.co.uk,https://www.facebook.com/fayandlatta,,,,Acoustic songs and original material.,no,no,2023-02-24,
Floyd In The Flesh,https://www.floydintheflesh.co.uk/,https://www.facebook.com/Floydintheflesh,,,,Authentic and Passionate UK based Tribute to the one and only Pink Floyd!,no,no,2023-03-18,
Frankie Heart,,https://www.facebook.com/frankieheartofficial,,,,Northern Soul & Motown Singer,no,no,2023-02-24,
Go Your Own Way,,https://www.facebook.com/Tributetothem,,,,A Yorkshire based tribute to the music and all things Stevie Nicks & Fleetwood Mac.,,no,2023-06-02,
Guiseley Brass Band,,https://www.facebook.com/guiseleybrassband/,,,,,no,no,2023-03-13,
Halifax Gilbert and Sullivan Society,https://www.halifaxgands.org.uk/,https://www.facebook.com/groups/1402545766717575/,,,,"The Society formed in 1968 and we gave our first fully staged performance 3 years later. We perform our annual show at Halifax Playhouse, usually at the beginning of November.",no,no,2023-06-07,
Hall Royd Band,https://www.hallroydband.org.uk/,,,,,,no,no,2023-03-13,
Hayley Hales,,,,,,Vocalist,,,2023-09-28,
Hazjak,https://www.hazjak.com/,https://www.facebook.com/hazjak,,,,"Americana, Folk, Alt country, Roots, Acoustic",no,no,2023-06-30,
Herr Jen’s Band.,,,,,,,no,no,2023-03-13,
Izak Wilkinson,,https://www.facebook.com/IzakWilkinson/?locale=en_GB,,,,"Acoustic performer playing well known, well loved songs with something for everyone!",,,,
Jack O'Malley,,https://www.facebook.com/Jackomalleymusic,,,,,no,no,2023-09-08,
Jackals,,https://www.facebook.com/profile.php?id=100075618526834,,,,,no,no,2023-02-23,
Jagged Edge,,,,,,,,,2024-01-30,
Jake Keating,http://www.jakekeatingmusic.com/,http://www.facebook.com/JakeKeatingMusic,https://twitter.com/JKeatingMusic,https://www.instagram.com/jakekeatingmusic,,"Yorkshire based Singer/Songwriter, Entertainer and occasional street performer.",no,no,2023-05-10,
Joe Drury,,,,,,Joe is a singer songwriter & guitarist who sounds like Nick Drake fused with James Taylor. Joe is from a local musical family and his songs and voice are spell binding.,no,no,2023-09-01,
John Drury,https://johndrury.bandcamp.com/album/come-up-to-london,,,,,,no,no,2023-02-23,
Johnny Martell,https://stevemartinentertainments.com/entertainers/johnny-martell/,,,,,International TV & multi award winning vocal comedy entertainer,,no,2023-06-23,
Julian Socha,https://soundcloud.com/julian-socha,https://www.facebook.com/juliansochamusic/,,,,"Guitarist Singer/Songwriter from England, Solo performer also works in Duo's and Bands, Loves Blues,Rock n Roll,Bluegrass and Jazz.",no,no,2023-09-06,
Kitty LaMare,https://www.kittylamare.com/,https://www.facebook.com/VintageLaMare,,,,Kitty LaMare provides quality vintage entertainment with a warmth and personality that is impossible to resist.,no,no,2023-04-27,
Last Orders,https://lastordersmusic.wordpress.com/,https://www.facebook.com/lastordersrocknroll,,,,"Last Orders are a five piece Yorkshire band who have been playing Rock n Roll music in local pubs, bars and festivals for over seventeen years now.",not known,no,2023-02-23,
Laurel Canyon Union,,https://www.facebook.com/LaurelCanyonUnion,,,,70's West Coast Counter-Culture Americana band,,no,2023-05-23,
Liam Jarvis & The Low River Band,,https://www.facebook.com/LiamJarvisMusic/,,,,Bradford Musician,no,no,2023-07-06,
Liam Sullivan,https://linktr.ee/LiamSullivanMusic,https://www.facebook.com/liamsullivanmusic,https://twitter.com/SullivanMusic,https://www.instagram.com/liam.sullivan.music,,"Journeyman Songwriter from Leeds, UK",,no,2023-05-23,
Liam Sullivan,,https://www.facebook.com/liamsullivanmusic,,,,"Liam has been writing, recording and performing music for well over a decad",no,no,2023-09-08,
Long Shadow Family,,https://www.facebook.com/LongShadowFamily/,,,,A top rocking band,,,2024-01-30,
Luke Anthony D'Apolito,,https://www.facebook.com/luke.dapolito,,,,,no,no,2023-06-30,
Mark Ostyn,,,,,,,yes,no,2023-02-23,
Martin Heaton,,https://www.facebook.com/martin.heaton.526,,,,Martin Heaton is an acclaimed award winning Singer Songwriter of contemporary folk rock & guitar.,no,no,2023-09-01,
Martin Plock,https://martinplock.bandcamp.com,,https://twitter.com/MartinPlock,,,"Rumour has it, that on his way down from Scotland, Martin Plock wrestled a Lynx. This he did before he swam the Tay, which was flooding & in full flow, Jordan like. His songs are dredged from the lowest regions of the soul, grown on the under belly of the most perplexing thought. Listen and they will tell you what others are failing to explain to you.",no,no,2023-04-25,
Matthew Broadbent,,https://www.facebook.com/spraff,,,,,yes,,2023-09-28,
May Contain Notes,http://www.maycontainnotes.uk/,,,,,Acoustic and a capella singers...singing about the world.,no,no,2023-06-30,
Meanwood Valley Session Band,,,,,,,,,2024-08-01,
Melosa Jazz,,https://www.facebook.com/melosajazz/,https://twitter.com/MelosaJazz,,,"Bradford based mellow Jazz with vocals, piano, (double) bass, drums",no,no,2023-04-27,
Mila Lee,,https://www.facebook.com/profile.php?id=100051744883748,,,,"Mila Lee is a talented singer/guitarist based in Bradford and recent graduate of Leeds College of Music. She’s an experienced performer on the scene and plays cover songs, generally in the style of soul/jazz/pop.",no,no,2023-04-12,
Molly Rymer,,https://www.facebook.com/mollyrymermusician,,,,,no,no,2023-06-30,
Neon Dice,,https://www.facebook.com/profile.php?id=100026316947212,,,,A covers band based in West Yorkshire,,no,2023-05-23,
No Big Deal,,https://www.facebook.com/NobigdealUK,,,,"No Big Deal are a 4-piece pop rock covers band based in Keighley, West Yorkshire.",no,no,2023-09-08,
Pete Ivatts,,https://www.facebook.com/pete.ivatts/,https://twitter.com/pete_ivatts,,,Actor singer - songwriter,no,no,2023-04-25,
Playing For Kicks,https://playingforkicks.co.uk/,https://www.facebook.com/Playingforkicks/,,https://www.instagram.com/playingforkicksband/,,,yes,yes,2023-02-23,
Pop Up Brass,,,,,,,no,no,2023-03-13,
Raven Kits,,https://www.facebook.com/RavenKitsMusic,,,,"Female fronted acoustic band playing a variety of popular reggae, rock & pop classics.",no,no,2023-06-30,
Reuben and The Bridge,,https://www.facebook.com/folkmusicland,,,,"Acoustic/Folk duo, playing guitar and fiddle. Interesting covers and originals played with competence.",no,no,2023-05-11,
Ryder,,https://www.facebook.com/ryderbandleeds/,,,,Loud & Proud four-piece rock band from West Yorkshire.,no,no,2023-07-07,
Sarah Widdup,,https://www.facebook.com/sarahwiddupmusic,,,,"Acoustic guitarist / singer based in West Yorkshire, available for bookings.",no,no,2023-06-30,
Sawdust,,https://www.facebook.com/Sawdustrocks,,,,Covers band playing pop and rock songs spanning the last 50 years.,,no,2023-05-23,
SCOUGE,https://linktr.ee/SCOUGE,https://www.facebook.com/ScougeBand,,,,"Yorkshire, Grunge, Power-Trio",no,no,2023-03-15,
Sean O'Connor,,,,,,,no,no,2023-06-30,
Seven by Seven,https://7by7.club/,,,,,"We are a Leeds-based friendly open decks vinyl playing session where you can come along and play seven of your 7"" 45s.",no,no,2023-10-13,
Shipley Salvation Army Brass Band,,https://www.facebook.com/shipleysalvationarmy,,,,,,,2023-05-26,
Six Days,,https://www.facebook.com/sixdaysacoustic/,,,,"Americana. Songs by great writers like John Hiatt, Chris Hillman, Rodney Crowell, Lyle Lovett, etc",,no ,2023-05-24,
Sleepy Jake Segrave,https://soundcloud.com/sleepy-jake-segrave,https://www.facebook.com/pages/Sleepy-Jake-Segrave/496087587118924,,,,Sleepy Jake Segrave is a human time machine reviving the early 20th century blues for a 21st century audience.,no,no,2023-03-22,
Stockyard Crossing,https://www.stockyardcrossing.co.uk/,https://www.facebook.com/stockyardcrossing,,,,Dedicated to classic rock and blues covers with a bit of kick-ass country since 2012.,no,no,2023-12-13,
Stonebow,,https://www.facebook.com/StonebowUK/,,,,Hebden Bridge 3 piece. Indie bangers meets space rock,no,no,2023-07-05,
Suitcase Rags,,https://www.facebook.com/suitcaseragstrio,,,,"The Suitcase Rags Trio are a Leeds-based skiffle group playing American 
folk music, blues covers and original material in an authentic style.",,no,2023-06-02,
Sunday Club,,https://www.facebook.com/TheSundayClubBluesRock,,,,"Four talented and experienced musicians in a powerful and dynamic band, playing the very best rock and blues.",,no,2023-05-23,
The Aligators,,https://www.facebook.com/TheAligators1,,,,Rock & Roll/Blues Band Playing the local circuits in Leeds and Bradford,no,no,2023-09-08,
The Twines,,https://www.facebook.com/TheTwines,,,,A four-piece Bradford-based Alternative Rock band with Grunge and Indie Rock influences.,yes,no,2023-07-04,
TMP,,https://www.facebook.com/TMPband,,,,,no,no,2023-02-23,
Tom O'Neil,,https://www.facebook.com/TomSwans,,https://www.instagram.com/swanoneill/,,"Singer, performer, songwriter, and promoter",no,yes,2023-03-15,
Tropical Death Boy Paradise,,https://www.facebook.com/TropicalDeathBoyParadise,,,,"""These guys got stones.""",no,no,2023-03-15,
Wilson,https://www.wilsonmusicuk.com/,https://www.facebook.com/WilsonMusicUK/,,,,"Musician, acoustic guitarist, singer and songwriter from Yorkshire.",no,no,2023-12-13,
Three Chord Max,,,,,,,,,,
The Wholehearted,https://www.thewholehearted.co.uk/,https://www.facebook.com/thewholeheartedmusic/,,,,"Three piece indie-folk band from West Yorkshire, UK.",no,no,2024-03-16,
Bobby Lee,https://linktr.ee/bobbyleeboogie,https://www.facebook.com/bobbyleeplaysitslow,,,,Worn-denim instrumental psych country,,,,
Serious Sam Barrett,https://www.serioussambarrett.co.uk/,https://www.facebook.com/p/Serious-Sam-BarrettYaDig-Records-100063766411226/,https://twitter.com/serioussam1980?lang=en,https://www.instagram.com/serioussam1980yadig/,,"Serious Sam Barrett is a hard touring, folk and country singer/songwriter from Otley, West Yorkshire. Playing honest, heartfelt self penned and traditional songs on 12 string guitar and banjo.",no,no,2024-03-29,
Laura Rhían Hainsworth,,https://www.facebook.com/laura.r.hainsworth,,,,,,,,
Flash Cassette,https://flashcassette.bandcamp.com,https://www.facebook.com/flashcassette,https://twitter.com/flashcassette?t=rNvdyQCwVvr1wM5Y7pszWA&s=09,,,Electronic Disco sounds from West Yorkshire. Sitting somewhere between Funkadelic & SEGA Megadrive.,,no,2024-04-19,
Guiseley Jazz,https://guiseleyjazz.com/,https://www.facebook.com/groups/142384429745838/,https://twitter.com/GuiseleyJazz,,,"Guiseley Jazz Band (formerly GMC Jazz) is a jazz group based in Guiseley, Leeds and the West Yorkshire area",,,2024-04-29,
NoteAbility Concert Band,https://noteability.wixsite.com/band,https://www.facebook.com/NoteAbilityConcert/,,,,"A Woodwind and Brass band based in Shipley, West Yorkshire.",,,2024-04-29,
Two Rivers Band,https://www.tworiversbands.org.uk/,https://www.facebook.com/tworiversswingconcband,https://twitter.com/TwoRiversCSB,,,A Concert Band and Swing Band operating under the umbrella of the Ilkley and North Bradford Band Association.,,,2024-04-29,
Dougie MacLean,https://www.dougiemaclean.com/,,,,,"Dougie MacLean, originally famed for writing the song 'Caledonia', has built an international reputation as songwriter, composer and extraordinary performer on his own terms. This has taken his performance to concerts and festivals all over the world and to the stages of Carnegie Hall in New York, London’s Festival Theatre and the Sydney Opera House.",no,no,2024-05-10,
The Wild Geese,,https://www.facebook.com/profile.php?id=100056825720250,,,,"Much, much more than a 'load of Irish tunes and Folk 'n Ballads!' - A seminal Bradford Irish band.",no,no,2024-05-10,
Christopher Crompton,http://www.christophercrompton.com/,https://www.facebook.com/ChristopherCromptonWordsandMusic/,,,,"Christopher Crompton is a singer-songwriter, guitarist, writer and poet from the West Midlands. ",no,no,2024-10-06,
Nick Shaw,https://nickshawguitar.wixsite.com/musician,,,,,,,,2024-11-25,
Scott Wainwright,,,,,,,,,2024-11-25,
Cooper Brown,,,,,,,,,2024-11-25,
Stan Greenwood,,,,,,,,,2024-11-25,
Brandon Symonds,,,,,,,,,2024-11-25,
Darren Ellis,,,,,,,,,2024-11-25,
Nigel Rae,,,,,,,,,2024-11-25,
Howlin Matt,,,,,,,,,2024-11-25,
Colour of light,,,,,,,,,2024-11-25,
Charlie and Sam,,,,,,,,,2024-11-25,
Johnny Gow,,,,,,,,,2024-11-25,
Kathryn Longbottom,,,,,,,,,2024-11-25,
Vincent O'Brien,,,,,,,,,2024-11-25,
Mike Burtoft,,,,,,,,,2024-11-25,
Bingley Music School Guitar Ensemble,https://www.bingleymusicschool.co.uk/,https://www.facebook.com/MusicSchoolBingley,,,,Local music school guitar group,,yes,2024-12-07,
Sharon Lawlor,,,,,,,,,,
LAURA,,,,,,,,,,
Gurgles,https://gurgles.bandcamp.com/,https://www.facebook.com/Gurglesband/,,https://www.instagram.com/gurglesband/,https://gurgles.bandcamp.com/,Prog/Pop people,,,2025-01-07,gurgles.jpg
Skinner & T’witch,https://www.skinnerandtwitch.com/,https://www.facebook.com/SkinnerTwitch,,,,"A Leeds based duo performing folk, flamenco and theatre style songs, with driving rhythms, intense harmonies and inspiring lyrics.",no,no,2025-01-07,
Gilank,https://gilank.bandcamp.com/,,,,https://gilank.bandcamp.com/,"Gilank is a duo of Bradford-based experimental electro-acoustic musicians, Alice Gilmour and shi Blank.",,,2025-01-21,gilank.jpg
Main Hobby,https://mainhobby.co.uk/,https://www.facebook.com/profile.php?id=61558193243214,https://x.com/MainHobbyBFD,https://www.instagram.com/mainhobbybfd/,https://mainhobby.bandcamp.com/,Main Hobby play twisted indie pop songs built around the songwriting talent of Jem Emmett.,,,2025-01-21,mainhobby.jpg
Hexama,,,,https://www.instagram.com/hexama_music,https://hexama.bandcamp.com/,"Dark experimental noise emanating from the bradford area, born out of a love for creating disconcerting sounds.",,,2025-01-21,hexema.jpg
Beep Beep Argh,,,,,https://beepbeepaargh.bandcamp.com,"Riffs, loops, beats, samples and sonic doodles, baked and road tested during lockdown by two survivors of Bradford’s post punk scene. Johnny Lorrimer and Phil Hobson combine their digital and instrumental skills to create a musical biscuit that tastes something like the ambient chill of Air, the electronic trip hop of Bomb the Bass and the industrial metal of Ministry.",,,2025-01-21,beepbeepargh.jpg
Mammoth Tank,https://linktr.ee/mammothtank,https://www.facebook.com/mammothtankpunkrock/?locale=en_GB,,,,"3 Piece original rough 'n' raw punk rock from Bradford, West Yorkshire.",,,2025-01-21,mamothtank.jpg
Forming,,https://www.facebook.com/formingsound,https://twitter.com/FormingSound,https://www.instagram.com/formingsound/,https://forming1.bandcamp.com,Indiedreamgazepop,,,2025-01-21,forming.jpg
Queer Of Hearts,,,,https://www.instagram.com/queer_of_hearts_band/,,An absolute riot coming in your ears. Look out Yorkshire,,,2025-01-21,queerofhearts.jpg
Gevaudan Dogs,https://gevaudandogs.com/,https://www.facebook.com/profile.php?id=61550867619675,,https://www.instagram.com/gevaudandogs/,https://gevaudandogs.bandcamp.com/,"Gevaudan Dogs (Jeh.vaw.den Dogs) is the latest punk rock ensemble from Leeds. Brainchild of songwriter and guitarist Vince Cayo, the four-piece bring energetic and impactful sounds similar to acts like Social Distortion, Stiff Little Fingers and The Clash.",,,2025-01-23,gevaudandogs.jpg
Echo Machine One,https://linktr.ee/echomachineone,https://www.facebook.com/EchoMachineOne,,https://www.instagram.com/echomachineone/,https://echomachineone.bandcamp.com/,"Post-punk agitprop from Bradford, UK.",,,2025-01-23,echoone.jpg
The Scaramanga Six,http://www.thescaramangasix.co.uk/,https://www.facebook.com/thescaramangasix,https://x.com/scaramangasix,,,"A biog or blurb is the thing that is asked for when someone needs a potted history or a convenient backstory. Well, for The Scaramanga Six, who’s activity spans over the last four decades, all you need to know is this – they are still here and they won’t go away.",,,2025-02-15,the_scaramanger_six.jpg
The Carol Hodge Band,https://www.carolhodge.co.uk,https://facebook.com/hodgexcarol,http://twitter.com/carolxhodge,http://instagram.com/carolxhodge,http://carolxhodge.bandcamp.com/,"Yorkshire-dwelling singer-songwriter Carol Hodge is a wonderful musical dichotomy. With her roots and ethics firmly set in punk as a long-term collaborator with Crass frontman Steve Ignorant, Carol is currently touring the songs of Crass around the world with The Ignorant Band, on keyboards, BVs and lead vocals. Yet Carol is also a uniquely gifted songwriter and as able to conjure up beautiful pop-infused, heart-wrenching melodies as she is screaming into the face of authority and injustice.",,,2025-02-15,carol_hodge.jpg
Abandoned Buildings,,https://www.facebook.com/Abandonedband/,https://x.com/abandonedband,https://www.instagram.com/abandoned_buildingsband/,https://abandonedbuildings1.bandcamp.com,"Abandoned Buildings are five friends who like to make noise in a dilapidated old mill in Bradford, West Yorkshire. Their music is influenced by the post-industrial landscape of the city and the stark beauty of the surrounding moors.",,,2025-02-15,abandoned-buildings.jpg
CRUMBS,,https://www.facebook.com/crumbsareaband,,https://www.instagram.com/crumbsband/,https://crumbscrumbs.bandcamp.com/,A sort of post punk indie pop band.,,,2025-02-19,crumbs.jpg