Artists,Venue,Date,Time,Price,Tickets,Link,Presents,Description,LastUpdated,Scraped,Cancelled,CancelledText,CancelledLink,Image1,Image2
Sleepy Jake Segrave,Martinez Bingley Wine Shop & Wine Bar,2023-03-22,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02J4nKmBmQRSwvjVD11gVdKuesodDJYhz9hgU9kk4Xz9y1fZoNtoaGdtgJ29WAbTpgl?__cft__[0]=AZU6taT3quR1kIJEkSMkpXpJXZUaP5yJj2LaZHyfNajT82HVyNjZ7Ur9GbSRkpzhMl6hRcq6ksSrNfHEMJPcCtUhUiZucwuThtmsb1gvf6f47qiayZWtd8u807nT7raJmKXmDBf0h_Smnd4exvF8T1iM&__tn__=%2CO%2CP-R,,Sleepy Jake Segrave is our Blues act this Wednesday. Live from 7.30pm and admission is free... Sleepy Jake Segrave is a human time machine reviving the early 20th century blues for a 21st century audience.,2023-03-22,,,,,,
Ben Blue Waters,Martinez Bingley Wine Shop & Wine Bar,2023-03-29,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid0psnvR1noAJj1a26uPgLggzj3JUuiXjQGam8uGZ2B2MicDLczYmxRqRZNsUEGQ2xnl,,"Solo acoustic slide guitar player and singer, performing blues songs from the 1920's onwards.",2023-03-29,,,,,,
Mila Lee,Martinez Bingley Wine Shop & Wine Bar,2023-04-12,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02bikKgkS2V1bUWPe87vvzbdpHvps9REsuL1ckNsfWNhY1QYBXDXRSuET7MxebCWwWl?locale=en_GB,,"Mila Lee is a talented singer/guitarist based in Bradford and recent graduate of Leeds College of Music. She’s an experienced performer on the scene and plays cover songs, generally in the style of soul/jazz/pop.",2023-04-12,,,,,,
Dori and The Drivers,Martinez Bingley Wine Shop & Wine Bar,2023-04-19,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid0qWArCckN8srFJsmLMr3Np6nnwWuNJiNxtjwmSb6xJ6yX2Asb8znpdJgp9cMEDFMel,,"‘Dori and The Drivers’ (duo) will be down at the Martinez Wine Bar in Bingley this coming Wednesday (19th). Come along and join us for some good fun, lots of jig along to music and a few giggles thrown in too. 7.30pm start",2023-04-19,,,,,,
Martin Plock,Martinez Bingley Wine Shop & Wine Bar,2023-04-26,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02hd8RB7QCC7d2cZLCy7x3VNKz5CFa1hMtqskHeo3U33wSuoGAtB2nArfT97crHyNql,,"Martin Plock is this Wednesdays Bluesician at Martinez. Live @ 7.30pm, we shall see you there...",2023-04-25,,,,,,
Jake Keating,Martinez Bingley Wine Shop & Wine Bar,2023-05-10,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid022qQg6reta3m1sZWnUvdx2EvKRk7sqahWXftTM7rR1kCbarVevEzbfYvyPjWDSpVZl,,"Wednesday Blues this week sees local artist Jake Keating perform at Martinez from 7.30pm...
Jake Keating is a 21 year-old Singer songwriter from Bradford, West Yorkshire.
He was introduced to music at an early age, listening to his mother's diverse record collection that included albums from artists such as John Martyn, Christy Moore and The Waterboys through to Pink Floyd, Fleetwood Mac, and Led Zeppelin.",2023-05-10,,,,,,
Suitcase Rags,Martinez Bingley Wine Shop & Wine Bar,2023-05-31,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid021M9SB3F4Bmdt844Y4CVtkHGXmnm1wwNEvHaXSXgzXpQyTJ456BZh4CefE5Qn6MjCl?__cft__[0]=AZWK0PYJpkH50cJxinwqYAgcTqr9Fxr0MKEw_v1PqlkmgePjyssnE0O40nyXL7grAjFe3X-3XxyK6xHm-cH1RT2U1TDKB4y7xCgyLg8yGCphRTX3WTaKCUoEemez1PBlhqAmFR1xKANE3AxMIx8YJnkUKhV1EzkYpMnJxE4KX3k-ix046M_uDI9Ss6R_-ADuOik&__tn__=%2CO%2CP-R,,"Live at Martinez this evening... The Suitcase Rags Trio are a Leeds-based skiffle group playing American folk music, blues covers and original material in an authentic style.",2023-06-02,,,,,,
Dogfinger Steve,Martinez Bingley Wine Shop & Wine Bar,2023-08-23,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid0umAsbwhpTkSfL3chVSj8gbLhe4PCXnzJqy2W6rPtHsH7euf3D7S9nnCcjJkZ322zl?__cft__[0]=AZVV0k5pjrxKz768SReohrHLA0pcby53iZiEBMZzW7Vzmn3bWwAxzdktaS6h8DSFKGncl-_iQ32m6GygUUkOrw8ZVCM4Aye4j0baQqWPXABBTfjANbXdpEkSvf0HLDw4LriEt3-jCZRBzwtv_j86JOARgfNVZhMsaYUPSRd9nNRaQhMyU_ZhIn9QuFr8dP5fZ6g&__tn__=%2CO%2CP-R,,Dogfinger Steve playing cigar box blues this Wednesday from 7pm.,2023-09-01,,,,,,
Calm Before The Storm,Martinez Bingley Wine Shop & Wine Bar,2023-08-30,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid0tdKMmjbiezZv7HCEU4uf17gU6z8b7feqSQajATxjcPHx5RsWiJfuiDha4vxJTB8il?__cft__[0]=AZUY4rekZLnf84ikkKv0uL2EFXxxNADR0zSqRIplqmP2MPcZqRAOxhJsVpGJCL0mzQGGzgGqC2C97EHljWTXj9faqPOxlmkoUzNWr4F4I952wr5v2C-zVimgak4Wdr3U-0awtl_QDq7rPyqZSLveBNVkiZhM0b-KHemVjjfkhPe3hvdLjV9VtW5RESX02UaoQPs&__tn__=%2CO%2CP-R,,"Stan Greenwood from Skeletal Family's acoustic duo ""Calm Before The Storm"" with Innis Stiles play their first official Bingley gig.",2023-09-01,,,,,,
Julian Socha,Martinez Bingley Wine Shop & Wine Bar,2023-09-06,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02QqvXdZRYAe4XAGHo4NmQoYMevSTqwKDB8jEfAEEoGjwmZygwrRj2VNN7MGLWhVR5l,,"Live Blues at Martinez tonight (06/09/23) with Julian Socha from 7.30pm... Julian is a seasoned performer, having played for many years both in this country and abroad.",2023-09-06,,,,,,
Diamond Dac,Martinez Bingley Wine Shop & Wine Bar,2023-11-08,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02YBZ725hBdFMxAomqdE7SyzM5cXRdQyXtG3fpnnKJXbwYAVDuixKbC6R7FrzPtRQwl,,"Tonight's Blues night at Martinez will see Diamond Dac return to the bar, playing as a duo",2023-11-13,,,,,,
Wilson,Martinez Bingley Wine Shop & Wine Bar,2023-12-13,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid0Zc2SUVN7iiE3khFvJvDgAndJvMUDJ9t6zFA26vvWUQc9xJ1hfYojoiQGSC5sjWQpl,,"Wilson is an acoustic guitarist, singer and songwriter from Leeds.",2023-12-13,,,,,,
Cornell Daley,Martinez Bingley Wine Shop & Wine Bar,2024-01-03,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid09gkZLEEGJEgLRrbxVEEfcDQTgpxp2zyHJPpRhMSpvDEuWvz36j5tuLpnb4B2rAtFl,,Cornell Daley at Martinez. And why not!,2024-01-21,,,,,,
Sleepy Jake Segrave,Martinez Bingley Wine Shop & Wine Bar,2024-01-10,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid03Tp5AQq83AwF9xzJSgscgM6eqweGwQC5X8cut6HSxokB8xxcDjXZQpgfJLAkRHsCl,,Live Blues this Wednesday evening with sleepy Jake Segrave... Sleepy Jake Segrave is a human time machine reviving the early 20th century blues for a 21st century audience.,2024-01-21,,,,,,
Doug Nissley,Martinez Bingley Wine Shop & Wine Bar,2024-01-17,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02uMmbCT1hdeD4LcepWzx8GGat6egwhoC1id62E825BFDXLBqxFocKdJChHWogu4fsl,,Doug Nissley is our Blues artist on January 17th. Live from 7.30pm...,2024-01-21,,,,,,
Ben Blue Waters,Martinez Bingley Wine Shop & Wine Bar,2024-01-24,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161341,,,2024-01-21,,,,,,
Mila Lee,Martinez Bingley Wine Shop & Wine Bar,2024-04-10,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid0SzYujKRChDVrQEQAnX33Ugg8jnJMyVhAuipzEbwUbddjRG1r6KVYetwtJTEkR43Pl,,"Blues every Wednesday at Martinez. Tonight sees the return of local talent Mila Lee who is always a popular attraction. Live from 7.30pm, free entry.",2024-03-18,,,,,,
Sawdust,Mavericks,2024-01-27,20:00,Free,,https://www.facebook.com/mavsbingley/posts/pfbid0287246MPXGfMZQns4ayAQLxpt25so1wS5AZdmtBZvpx3frMeZd9tnSs6fKtTrtQaRl,,,2024-01-30,,,,,,
Pop Up Brass,Myrtle Park,2023-04-30,14:00,Free,,,,,2023-03-13,,,,,,
Herr Jen’s Band.,Myrtle Park,2023-05-14,14:00,Free,,https://www.facebook.com/events/748939830125690,,,2023-03-13,,,,,,
Shipley Salvation Army Brass Band,Myrtle Park,2023-05-28,15:00 - 17:00,Free,,https://www.facebook.com/groups/friendsofmyrtlepark/posts/1330862174479697,,"Shipley Salvation Army Brass Band will be playing in the bandstand at Myrtle Park this Sunday, May 28th, from 3.00-5.00 pm. 

This performance is a welcome addition to the advertised schedule of bandstand events. The weather looks promising so why not bring a picnic, relax and enjoy the music in the beautiful surroundings of Myrtle Park.",2023-05-26,,,,,,
Guiseley Brass Band,Myrtle Park,2023-06-11,14:00,Free,,https://www.facebook.com/events/101270962932562,,,2023-03-13,,,,,,
Hall Royd Band,Myrtle Park,2023-07-09,14:00,Free,,https://www.facebook.com/events/105357185844129,,,2023-03-13,,,,,,
Melosa Jazz,Myrtle Park,2023-07-09,12 - 2pm,Free,,,,Jazz in the park. Bring a picnic and hope for sunshine!,2023-04-27,,,,,,
Bradford Concert Band,Myrtle Park,2023-07-16,14:00,Free,,https://www.b-c-b.org.uk/dbpage.php?pg=view&dbase=events&id=163126,,Mrtyle Park will be echoing to the sound of Bradford Concert Band's entertaining performance of a variety of musical genres during the afternoon.,2023-03-13,,,,,,
Pop Up Brass,Myrtle Park,2023-07-30,14:00,Free,,,,,2023-03-13,,,,,,
Guiseley Brass Band,Myrtle Park,2023-08-06,14:00,Free,,,,,2023-03-13,,,,,,
Beyond the C,Myrtle Park,2023-08-20,12 - 2pm,Free,,,,Jazz in the park. Bring a picnic and hope for sunshine!,2023-04-27,,,,,,
Herr Jen’s Band.,Myrtle Park,2023-08-27,14:00,Free,,,,,2023-03-13,,,,,,
Bradford Concert Band,Myrtle Park,2023-09-03,14:00,Free,,,,,2023-03-13,,,,,,
Remembrance Day Parade and Service,Myrtle Park,2023-11-12,10:30,Free,,https://www.facebook.com/profile.php?id=100066785065053,,The annual Remebrance Day Service and Parade will feature two bands and the Steeton Male Voice Choir. Starts at 10.30 at the Market Square in town and then the  parade marches to the Cenotaph in Myrtle Park for the 11am service.,2023-09-11,,,,,,
Guiseley Brass,Myrtle Park,2024-05-12,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/guiseley-brass/,,Summer Bandstand Concerts,2024-04-29,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hall Royd Band,Myrtle Park,2024-06-09,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/hall-royd-band-2/,,Summer Bandstand Concerts,2024-04-29,,,,,,
Guiseley Jazz,Myrtle Park,2024-06-23,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/guiseley-jazz/,,Summer Bandstand Concerts,2024-04-29,,,,,,
Guiseley Brass,Myrtle Park,2024-07-14,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/guiseley-brass-2/,,Summer Bandstand Concerts,2024-04-29,,,,,,
NoteAbility Concert Band,Myrtle Park,2024-07-21,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/noteability-concert-band/,,Summer Bandstand Concerts,2024-04-29,,,,,,
Hall Royd Band,Myrtle Park,2024-07-28,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/hall-royd-band-3/,,Summer Bandstand Concerts,2024-04-29,,,,,,
Bradford Concert Band,Myrtle Park,2024-08-11,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/bradford-concert-band/,,Summer Bandstand Concerts,2024-04-29,,,,,,
Two Rivers Band,Myrtle Park,2024-08-18,2pm - 4pm,Free,,https://bradforddistrictparks.org/event/two-rivers-band/,,Summer Bandstand Concerts,2024-04-29,,,,,,
Carols 'n' Cake,Prince Of Wales Park,2023-12-23,11:00,Free,,https://www.friendsofpowp.org.uk/,,"Carols 'n' Cake at 11 am on Saturday 23rd December in the arena. If you can, bring food to share. Enjoy a cuppa or mulled wine (juice for the kids). Have a singalong to the festive songs.",2023-12-07,,,,,,
John Drury,Ryshworth Club,2023-03-06,19:00,Free (Raffle and donations),,https://www.facebook.com/groups/1823602681007824/posts/6256276714407043/,,"Exciting news John Drury coming on March 6 th to The Ryshworth Club, Crossflatts great singer wtiter and player please come and support the night .",2023-02-23,,,,,,
Pete Ivatts,Ryshworth Club,2023-05-01,19:00,Free (Raffle and donations),,https://www.facebook.com/groups/1823602681007824/posts/6465829006785145/,,Bingley First Monday Folk presents Pete Ivatts - a very special night. Please come if you get the chance. No entry fee. Friendly venue. Donation/raffle. All Welcome.,2023-04-25,,,,,,
Six Days,Ryshworth Club,2023-06-05,19:00,Free (Raffle and donations),,https://www.facebook.com/groups/1823602681007824/posts/6550727721628606,,First Monday Folk is a little folk club held on the first Monday evening of each month. This month Americana from Six Days.,2023-05-24,,,,,,
May Contain Notes,Ryshworth Club,2023-07-03,19:30,Free,,https://www.facebook.com/events/648020920519120,,First Monday Folk is a little folk club held on the first Monday evening of each month.,2023-06-30,,,,,,
"Martin Heaton,Joe Drury",Ryshworth Club,2023-09-04,19:00,Free,,,,"First Monday Folk is a little folk club held on the first Monday evening of each month. No entry fee, but donations and a raffle keep the event running.",2023-09-01,,,,,,
Joe Drury,Ryshworth Club,2023-10-02,19:00,Free,,https://www.facebook.com/events/2439881796181518,Bingley First Monday Folk presents,"Joe is a singer songwriter & guitarist who sounds like Nick Drake fused with James Taylor. Bingley First Monday Folk is a little folk club held on the first Monday evening of each month. No entry fee, but donations and a raffle keep the event running.",2023-09-28,,,,,,
Ben Greenwell,Ryshworth Club,2023-11-06,19:00,Free,,,Bingley First Monday Folk presents,"A special event where we will also be celebrating the first birthday of Bingley Music Town. There will be cake!<br>
Ben Greenwell is a singer/songwriter, harmonica player and guitarist from Yorkshire. With solid grooves and emotive whaling blues harmonica, Greenwell’s soulful voice takes the listener on a journey as he sings about life, loss, love and truth. Bingley First Monday Folk is a little folk club held on the first Monday evening of each month. No entry fee, but donations and a raffle keep the event running.",2023-09-09,,,,,,
Meanwood Valley Session Band,Ryshworth Club,2024-01-08,19:00,Free,,https://www.facebook.com/bingleymusictown/posts/pfbid0DeJaA1AicymR7TnF4cQtyzPMRwzf5MNM8BCkJMH95FP6RamufJwWX3ZA27uSGCbDl,,First Monday Folk at The Ryshworth Club -  features the Meanwood Valley Session Band. ,2024-01-08,,,,,,
Serious Sam Barrett,Ryshworth Club,2024-04-01,19:00,Free. Raffle and collection for the artists.,,https://www.facebook.com/events/300690109707076?,,"Serious Sam Barrett is a hard touring, folk and country singer/songwriter from Otley, West Yorkshire. Playing honest, heartfelt self penned and traditional songs on 12 string guitar and banjo.",2024-03-29,,,,,,
Bingley Handbell Ringers,St Wilfrid Church,2023-12-03,15:00,Free,,https://www.facebook.com/groups/306518791665257/posts/633377005646099,,Come and see us play some of your favourite Christmas pieces. Event starts at 2pm.,2023-11-13,,,,,,
"TMP,Jackals",The 66 Bar,2023-03-10,,Free,,https://www.facebook.com/the66bar/posts/pfbid033sYH3TniWgxSe1srZ34CiBQFjzpHgZX9PbtF2iLMa5uKehrbFM9ZfzB2xHKjohKQl,,"Indie/Rock trio from Keighley, West Yorkshire",2023-03-10,,1,Unfortunately we are having to post pone tonight’s gig due to the weather. We will rearrange and get another date as quick as we can x,https://www.facebook.com/TMPband/posts/pfbid0MMTUeWCTMTAnb6L7oxBwhkavKXY5Uo8gcwRhTvM3agvX2mQhidcDfk8oKK1LJBQhl,,
"TMP,Jackals",The 66 Bar,2023-03-17,19:00,Free,,https://www.facebook.com/permalink.php?story_fbid=pfbid0HLqqKU6CoW8K3YK82bLXXkWb4SRJhwGm27auf4Kjc5cWZSbTZYgufeXEKFnuonqwl&id=100075618526834,,"Indie/Rock trio from Keighley, West Yorkshire",2023-03-10,,,,,,
"SCOUGE,Drella,Tropical Death Boy Paradise",The 66 Bar,2023-03-31,19:00,Free,,https://www.facebook.com/ScougeBand/posts/pfbid0oV5TpYFLJZhmSJizxxUgh193Lh7q513KhbLouxUH1dX5Sfw1oANmCZVNwcCToRTbl,,"Three Power Trios for the price of nowt. Support your local scene, support independent music, support local independent venues. Get up, get out there, rock hard.",2023-03-15,,,,,,
Manorlands Hospice Fundraiser,The Birches Eldwick,2023-11-11,19:30,£20,,https://www.facebook.com/thebircheseldwick/posts/pfbid02Xfc19yEhCXo8JawLmFjyKvju6YSYP93unRiCF4eNKqHR9rHCDeuDKFqZX3H7dhySl,,With music from a Smokie tribute band and fabulous 60's/70's dance numbers.,2023-09-28,,,,,,
Hayley Hales,The Birches Eldwick,2023-11-18,20:00,Free,,https://www.facebook.com/thebircheseldwick/posts/pfbid09bZ4mitTDMKHFsVvWHPCuDkMFNJtEXc3whcB4RWcZFPqQYgZydd8SBc7B2iYPULwl,,,2023-09-28,,,,,,
Matthew Broadbent,The Birches Eldwick,2023-12-09,20:00,Free,,https://www.facebook.com/thebircheseldwick/posts/pfbid09bZ4mitTDMKHFsVvWHPCuDkMFNJtEXc3whcB4RWcZFPqQYgZydd8SBc7B2iYPULwl,,,2023-09-28,,,,,,
Sawdust,The Birches Eldwick,2023-12-23,20:00,Check with the venue,,https://www.facebook.com/thebircheseldwick/posts/pfbid09bZ4mitTDMKHFsVvWHPCuDkMFNJtEXc3whcB4RWcZFPqQYgZydd8SBc7B2iYPULwl,,Christmas Sawdust Unplugged,2023-09-28,,,,,,
Sawdust,The Birches Eldwick,2023-12-31,20:00,Check with the venue,,https://www.facebook.com/thebircheseldwick/posts/pfbid09bZ4mitTDMKHFsVvWHPCuDkMFNJtEXc3whcB4RWcZFPqQYgZydd8SBc7B2iYPULwl,,New Year's Eve Party with Sawdust,2023-09-28,,,,,,
Last Orders,The Brown Cow,2023-02-25,21:00,Free,,https://www.facebook.com/events/1636460183449275,,Rock n roll n rhythm n blues,2023-02-23,,,,,,
Eddie Earthquake and the Tremors,The Brown Cow,2023-03-11,21:00,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0aTEMwzcLLjiCofrNoNy4vk8U4awB99J1poUACV38JtsmkJbHQJMK19Q6vryAwVB2l,,Authentic and energetic beat combo with great harmonies playing rock n roll and pop hits,2023-03-08,,,,,,
Sunday Club,The Brown Cow,2023-05-27,21:00,Free,,https://www.facebook.com/events/1401030467329736,,"Four talented and experienced musicians in a powerful and dynamic band, playing the very best rock and blues.",2023-05-23,,,,,,
Laurel Canyon Union,The Brown Cow,2023-06-17,21:00,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0SAy5tBFbKzX11qCVvFYfPN57ZGJNggJYo7XbdRRp9NH4hDgsMzLPX8qPiKMULdstl,,,2023-05-23,,,,,,
Liam Sullivan,The Brown Cow,2023-07-07,20:00,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0SAy5tBFbKzX11qCVvFYfPN57ZGJNggJYo7XbdRRp9NH4hDgsMzLPX8qPiKMULdstl,,,2023-05-23,,,,,,
Neon Dice,The Brown Cow,2023-07-22,21:00,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0SAy5tBFbKzX11qCVvFYfPN57ZGJNggJYo7XbdRRp9NH4hDgsMzLPX8qPiKMULdstl,,,2023-05-23,,,,,,
Cornell Daley,The Brown Cow,2023-08-04,20:00,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0SAy5tBFbKzX11qCVvFYfPN57ZGJNggJYo7XbdRRp9NH4hDgsMzLPX8qPiKMULdstl,,,2023-05-23,,,,,,
Sawdust,The Brown Cow,2023-08-05,21:00,Free,,,,Covers band playing pop and rock songs spanning the last 50 years.,2023-05-23,,,,,,
Amnesia,The Brown Cow,2023-09-23,21:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
No Big Deal,The Brown Cow,2023-10-14,21:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Dirty Deads,The Brown Cow,2023-10-23,21:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Jack O'Malley,The Brown Cow,2023-11-10,20:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Laurel Canyon Union,The Brown Cow,2023-11-18,21:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Playing For Kicks,The Brown Cow,2023-12-02,20:30,Free,,https://www.facebook.com/events/1372497916806123,,"Playing For Kicks are returning to The Brown Cow at short notice, with their eclectic set of feel-good hits from the last 6 decades. What a great way to kick off the festive season!",2023-11-22,,,,,,
The Aligators,The Brown Cow,2023-12-09,21:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Liam Sullivan,The Brown Cow,2023-12-15,20:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Brad Mack Music,The Brown Cow,2023-12-23,21:00,Free,,https://www.facebook.com/photo?fbid=773493818117386&set=a.476387631161341,,Live Music for those who love a beer and a boogie.,2023-09-08,,,,,,
Jack O'Malley,The Brown Cow,2024-02-16,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161342,,,2024-01-30,,,,,,
Jagged Edge,The Brown Cow,2024-02-24,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161343,,,2024-01-30,,,,,,
Dirty Deads,The Brown Cow,2024-04-20,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161345,,,2024-01-30,,,,,,
Cornell Daley,The Brown Cow,2024-05-10,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161346,,"Bingley based singer, songwriter, performer",2024-01-30,,,,,,
The Sunday Club,The Brown Cow,2024-05-25,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161347,,"Four talented and experienced musicians in a powerful and dynamic band, playing the very best rock and blues.",2024-01-30,,,,,,
Last Orders,The Brown Cow,2024-06-29,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161348,,"Last Orders are a five piece Yorkshire band who have been playing Rock n Roll music in local pubs, bars and festivals for over seventeen years now.",2024-01-30,,,,,,
Neon Dice,The Brown Cow,2024-07-27,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161349,,A covers band based in West Yorkshire,2024-01-30,,,,,,
Izak Wilkinson,The Brown Cow,2024-08-02,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161350,,"Acoustic performer playing well known, well loved songs with something for everyone!",2024-01-30,,,,,,
A Bloody Shambles,The Brown Cow,2024-08-03,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161351,,"An amazing, unique rock covers band.",2024-01-30,,,,,,
Long Shadow Family,The Brown Cow,2024-08-24,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161352,,A top rocking band,2024-01-30,,,,,,
Sawdust,The Brown Cow,2024-09-14,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161353,,Covers band playing pop and rock songs spanning the last 50 years.,2024-01-30,,,,,,
Blue Star Tattoo,The Brown Cow,2024-10-12,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161354,,"Classic Rock covers band available for weddings, parties, pubs, clubs, etc",2024-01-30,,,,,,
Dirty Deads,The Brown Cow,2024-11-02,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161355,,,2024-01-30,,,,,,
Liam Sullivan,The Brown Cow,2024-11-22,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161356,,"Journeyman Songwriter from Leeds, UK",2024-01-30,,,,,,
The Aligators,The Brown Cow,2024-12-14,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161357,,Rock & Roll/Blues Band Playing the local circuits in Leeds and Bradford,2024-01-30,,,,,,
Reuben and The Bridge,The Fisherman's Pub,2023-05-07,19:00,Free,,https://www.facebook.com/events/624094502933207,,,2023-05-11,,,,,,
Charlie Faulding,The Fisherman's Pub,2023-06-03,20:00,Free,,,,,2023-05-25,,,,,,
Tom O'Neil,The Fisherman's Pub,2023-06-10,20:00,Free,,,,,2023-05-25,,,,,,
Charlotte Nicholson,The Fisherman's Pub,2023-06-17,20:00,Free,,,,,2023-05-25,,,,,,
Beckie Brill,The Fisherman's Pub,2023-06-24,20:00,Free,,,,,2023-05-25,,,,,,
Sean O'Connor,The Fisherman's Pub,2023-07-01,20:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Molly Rymer,The Fisherman's Pub,2023-07-02,16:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Charlotte Nicholson,The Fisherman's Pub,2023-07-08,20:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Sarah Widdup,The Fisherman's Pub,2023-07-09,16:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Luke Anthony D'Apolito,The Fisherman's Pub,2023-07-15,20:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Raven Kits,The Fisherman's Pub,2023-07-16,16:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Brad Mack Music,The Fisherman's Pub,2023-07-22,20:00,Free,,https://www.facebook.com/tsopromotions/posts/pfbid02EZhyk2kndoTYbvbDisPbZTWwZns7PKxoUVkSqDgCEXgTZHBXQNH75nhyfwr5NkwSl,,Live music every Saturday and Sunday during July,2023-06-30,,,,,,
Hazjak,The Fisherman's Pub,2023-07-23,14:00,Free,,,,"Americana, Folk, Alt country, Roots, Acoustic",2023-06-30,,,,,,
